Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Average Aspect Ratio (height/width),Average Aspect Ratio min(height/width)/max(height/width), Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0304, -0.0036, 0.0404, 0.0202, 0.010288, 1.091057, 0.874829, 0.001, 4.1601
0, 2, 0.0041, 0.0005, 0.0042, 0.0021, 0.001042, 1.07822, 0.897717, 0.001, 4.2632
0, 3, 0.0045, -0.0006, 0.0047, 0.0023, 0.001175, 1.079723, 0.894035, 0.001, 4.1461
0, 4, 0.0041, 0.0005, 0.0042, 0.0021, 0.001042, 1.079477, 0.894602, 0.001, 4.4612
0, 5, 0.0041, 0.0005, 0.0042, 0.0021, 0.001042, 1.079515, 0.894514, 0.001, 4.2533
0, 6, 0.0041, 0.0005, 0.0042, 0.0021, 0.001042, 1.079509, 0.894528, 0.001, 4.1544
1, 1, 0.0315, 0.0003, 0.0408, 0.0102, 0.005189, 1.083883, 0.803944, 0.014, 5.2342
1, 2, 0.0099, 0.0008, 0.012, 0.003, 0.0015, 1.074322, 0.814036, 0.014, 5.227
1, 3, 0.0042, -0.0012, 0.0049, 0.0012, 0.000618, 1.072581, 0.811948, 0.014, 5.2112
1, 4, 0.0036, -0.0002, 0.0044, 0.0011, 0.000549, 1.072332, 0.811947, 0.014, 5.2354
1, 5, 0.0033, 0.0024, 0.0039, 0.001, 0.000491, 1.072309, 0.811934, 0.014, 5.2414
2, 1, 0.1168, 0.0241, 0.1859, 0.0232, 0.012552, 1.117124, 0.774176, 0.0608, 7.1855
2, 2, 0.058, 0.0017, 0.1019, 0.0127, 0.008009, 1.122461, 0.742845, 0.0608, 7.0211
2, 3, 0.0466, -0.0032, 0.0904, 0.0113, 0.007408, 1.127343, 0.732539, 0.0608, 7.0318
2, 4, 0.0305, -0.0019, 0.0565, 0.0071, 0.00408, 1.111969, 0.734099, 0.0608, 6.9913
3, 1, 0.1382, 0.0765, 0.3222, 0.0201, 0.006949, 1.101335, 0.748797, 0.2533, 12.791
3, 2, 0.0927, 0.0474, 0.2239, 0.014, 0.005132, 1.125179, 0.737446, 0.2533, 12.3443
3, 3, 0.0877, 0.0467, 0.2202, 0.0138, 0.00509, 1.126899, 0.73342, 0.2533, 12.3508
4, 1, 0.0928, 0.0529, 0.2232, 0.007, 0.002487, 1.132774, 0.719452, 0.9933, 30.762
4, 2, 0.0826, 0.0513, 0.228, 0.0071, 0.002321, 1.135318, 0.717724, 0.9933, 29.9939
5, 1, 0.1023, 0.0599, 0.2958, 0.0046, 0.001425, 1.154013, 0.708879, 4.0731, 116.0321
5, 2, 0.0912, 0.0576, 0.3019, 0.0047, 0.001336, 1.156211, 0.70867, 4.0731, 116.644
5, 3, 0.0872, 0.0572, 0.3079, 0.0048, 0.001302, 1.156075, 0.708128, 4.0731, 118.3741


Total Pre Processing Time(sec): 5.3956
Total Processing Time(sec): 534.505
